word/abbreviation,description/unabbreviation,lecture#
Individual (Sole Proprietor),A business owned and operated by one person; no legal distinction between owner and business,L1
Partnership,A business owned by two or more persons carrying on business in common with a view to profit,L1
Corporation,A legal entity separate from its owners (shareholders) can own property sue and be sued,L1
Sole Proprietorship,Individual operates alone; simplest business model; owner has unlimited liability,L1
Incorporation,The process of legally declaring a corporate entity as separate from its owners,L1
GST Registration,Registering for Goods and Services Tax with the government required for certain businesses,L1
Business Name,The official name under which a business operates,L1
Business Checking Account,A separate bank account for business transactions,L1
Liability Insurance,Insurance that protects a business from legal claims and lawsuits,L1
Legal Adult,Person 18+ years of sound mind  not bankrupt (eligible to form a corporation),L1
Open-Source Software,Software with source code available for use modification  and distribution under an open license,L2
Open Source Definition (OSD),A set of criteria that software must meet to be considered open source,L2
Freeware,Software distributed at no cost but usually with restricted rights,L2
Shareware,Software distributed for free initially but requires payment for continued use or full features,L2
Software Engineering,The discipline of designing  and maintaining software systems,L2
Ethics in Product Design,Principles guiding the creation of products to ensure they are safe,L2
Source Code,The human-readable instructions that make up a software program,L2
Non-discriminatory Licensing,Licenses that do not restrict usage based on user or field,L2
Integrity of Authorship,Ensuring original creators are credited for their work,L2
GNU Public License (GPL),A widely used free software license that guarantees end users the freedom to use,L2
Lesser General Public License (LGPL),A more permissive version of the GPL allowing linking with non-free programs,L2
Mozilla License,An open source license developed by Mozilla,L2
BSD License,A family of permissive free software licenses,L2
Apache License,A permissive free software license written by the Apache Software Foundation,L2
MIT-X11 License,A permissive free software license originating at MIT,L2
Proprietary Software,Software that is owned by an individual or company with restrictions on use,L2
Object Code,Compiled machine-readable version of software,L2
Derivative Work,A work based on or derived from one or more existing works (e.g. modified software),L2
Copyleft,A licensing practice that allows derivative works but requires them to be distributed under the same license,L2
Permissive License,A license that allows proprietary modifications and redistribution,L2
Aggregation,Combining multiple works on the same medium without creating a derivative work,L2
Liability Disclaimer,A statement that limits legal responsibility for the use of software,L2
Contributor,Anyone who adds to or improves a software project,L2
Mediation,Facilitated negotiation by a neutral third party to resolve disputes,L2
Forensics,Techniques for recovering and analyzing data from computers and devices,L2
IP Address,A unique string of numbers identifying a device on a network,L2
MAC Address,A hardware identifier for network devices,L2
Anti-Spam Legislation (CASL),Canadian law regulating the sending of commercial electronic messages,L2
Copyright Modernization Act,Canadian law updating copyright rules for the digital age,L2
Due Diligence,Reasonable steps taken to avoid committing an offense,L2
Jurisdiction,The authority of a legal body to govern or enforce laws,L2
Software Engineering Code of Ethics,Set of principles guiding ethical professional conduct for software engineers,L2
Public Interest,The welfare or well-being of the general public,L2
Intellectual Property Law,Law protecting creations of the mind such as inventions and works of art,L2
Transparency,Openness about design choices,L2
Accountability,Responsibility for actions and decisions,L2
Sustainability,Designing products to minimize environmental impact and promote resource efficiency,L2
Inclusivity,Designing products to be accessible and usable by all people,L2
User Welfare,Ensuring products do not harm users and are accessible,L2
Economic Responsibility,Ethical sourcing,L2
Pirated Software,Unauthorized copies of software,L2
Misinformation,False or misleading information spread intentionally or unintentionally,L2
Multi-user System,A computer system that allows multiple users to access resources,L2
Legal Consequences,Penalties or actions resulting from breaking the law,L2
Product Lifecycle,The stages a product goes through from design to disposal,L2
Ergonomic Design,Design that optimizes products for human use and comfort,L2
Accessibility,Designing products to be usable by people with disabilities,L2
Data Protection,Measures to safeguard personal and sensitive information,L2
Fair Labor,Ethical treatment and compensation of workers,L2
Recyclability,Ability of a product or material to be recycled,L2
Biodegradability,Ability of a product or material to decompose naturally,L2
Plagiarism,Presenting someone else's work as your own,L2
Legal Precedent,A previous court decision that influences future cases,L2
Stakeholder,Anyone affected by or involved in a project or decision,L2
Ambush (in arbitration),Withholding information until late in a dispute process,L2
Creative Solution,An innovative resolution to a problem,L2
Disclosure,Revealing relevant information to ensure transparency,L2
Canadian Legal System,The structure and rules governing law in Canada,L3
Constitution,The supreme law of Canada outlining government powers and rights,L3
Common Law,Judge-made law based on precedent mainly from England,L3
Legislation,Written laws enacted by a legislative body,L3
Court Structure,The hierarchy and organization of courts in a legal system,L3
Bi-jurisdictional,Having both federal and provincial legal authority,L3
Charter of Rights and Freedoms,Part of the Constitution guaranteeing rights and freedoms to all residents,L3
British North America Act (BNA Act),The original Constitution of Canada enacted in 1867,L3
Patriation,The process of bringing the Constitution under Canadian control (1982),L3
Federal Parliament,The national legislative body of Canada,L3
Provincial Legislature,The legislative body of a Canadian province,L3
Jurisdiction,The authority to make legal decisions and judgments,L3
Civil Law,A legal system based on written codes used in Quebec,L3
Halakha,Jewish religious law,L3
Canon Law,Ecclesiastical law of the Christian Church,L3
Islamic Law (Sharia),Religious law forming part of the Islamic tradition,L3
Statute,A written law passed by a legislative body,L3
Bylaw,A rule made by a local authority or corporation,L3
Regulation,A rule or directive made and maintained by an authority,L3
Professional Conduct,Standards of behavior expected of professionals,L3
Municipality,A city or town with its own local government,L3
Continuous Professional Development (CPD),Ongoing education to maintain and enhance professional skills,L3
Supreme Court of Canada,The highest court in Canada,L3
Court Hierarchy,The ranking of courts from lower to higher authority,L3
Affidavit,A written statement confirmed by oath for use as evidence in court,L3
Deposition,Testimony taken before trial under oath,L3
Discovery,Pre-trial process to gather facts and evidence,L3
Injunction,A court order requiring a party to do or refrain from doing something,L3
Subpoena,A legal order requiring someone to testify in court,L3
Malfeasance,An illegal or wrongful act,L3
Misfeasance,An improper performance of a lawful act resulting in injury,L3
Nonfeasance,Failure to perform an act required by law,L3
Plaintiff,The party who initiates a lawsuit,L3
Attorney,A person authorized to practice law and represent clients,L3
Barrister,A lawyer entitled to practice as an advocate in higher courts,L3
Solicitor,A lawyer who advises clients and prepares legal documents,L3
Precedent,A previous court decision that is binding in future similar cases,L3
Federal Statute,A law enacted by the federal government,L3
Provincial Statute,A law enacted by a provincial government,L3
Tort,A civil wrong causing harm or loss,L3
Criminal Code,The body of law relating to crimes and offenses in Canada,L3
E&G Act,Example of a provincial statute (e.g. Engineers and Geoscientists Act),L3
Conflict of Interest (COI),A situation where personal interests could compromise professional judgment or actions,L4a
COI,Abbreviation for Conflict of Interest,L4a
Bias,Inclination or prejudice for or against a person or group,L4a
Professional Ethics,Standards and principles guiding professional conduct,L4a
Good Governance,Processes and structures for effective ethical management of an organization,L4a
Risk Management,Identifying and addressing potential risks to an organization,L4a
Personal Benefit,Receiving advantage or gain for oneself,L4a
Objectivity,Ability to make decisions without personal bias,L4a
Perceived Conflict,Conflict that appears to exist,L4a
Indirect Benefit,Benefit received by family or associated businesses,L4a
Disclosure,Revealing relevant information to ensure transparency,L4a
Professional Guidelines,Rules and standards set by professional bodies (e.g.,L4a
EGBC,Engineers and Geoscientists British Columbia (professional regulatory body),L4a
Nepotism,Favoritism shown to relatives or friends,L4a
Transparency,Openness about actions and decisions,L4a
Self-Assessment,Evaluating one's own actions and decisions,L4a
Mitigate,To reduce the severity or seriousness of something,L4a
Competitive Bids,Process where multiple parties submit offers to win a contract,L4a
Policy,Formal rules or principles adopted by an organization,L4a
Compliance,Adherence to laws,L4a
Audit,Official inspection of accounts or processes,L4a
Reputational Damage,Harm to the good name or standing of an individual or organization,L4a
Legal/Regulatory Penalties,Punishments imposed for breaking laws or regulations,L4a
Three-step Approach (Disclosure, Review Process for managing conflicts of interest: disclose,L4a
Dispute Resolution,Processes for resolving disagreements or conflicts,L4b
Conflict Resolution,Methods and processes for resolving disputes,L4b
Consultant,An impartial expert engaged to interpret contracts and advise on disputes,L4b
Negotiation,Voluntary discussion to resolve disputes with or without representatives,L4b
Non-binding Third-party Decision,A decision by an independent party that is not legally binding,L4b
Mediation,Facilitated negotiation by a neutral third party to help parties reach agreement,L4b
Arbitration,A private less formal  binding dispute resolution process with an arbitrator,L4b
Litigation,The process of resolving disputes through the court system,L4b
Impartial,Unbiased and fair; not taking sides,L4b
Contract Performance,How well parties fulfill their contractual obligations,L4b
Cost/Benefit Analysis,Weighing the costs and benefits of different options,L4b
Plaintiff,The party who initiates a lawsuit,L4b
Settlement,An agreement reached by parties to resolve a dispute,L4b
Adjudicator,An independent third party who helps facilitate negotiations,L4b
Mediator,A neutral third party who helps parties reach agreement,L4b
Arbitrator,An independent person or body officially appointed to settle a dispute,L4b
B.C. Commercial Arbitration Act,Legislation governing arbitration in British Columbia,L4b
Binding Decision,A decision that must be followed by the parties involved,L4b
Appeal,A request for a higher court to review a lower court's decision,L4b
